PRISM Time Series Data,,,,,,
Locations: 8,,,,,,
Climate variable: ppt,,,,,,
Spatial resolution: 4km,,,,,,
Period: 1996-12-01 - 1997-02-28,,,,,,
Dataset: AN81d,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,
Grid Cell Interpolation: Off,,,,,,
Time series generated: 2021-Jun-03,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),Slide
Location 1,-122.3807,47.5876,108,12/1/1996,0.39,0
Location 1,-122.3807,47.5876,108,12/2/1996,0.08,0
Location 1,-122.3807,47.5876,108,12/3/1996,0.23,0
Location 1,-122.3807,47.5876,108,12/4/1996,0.07,0
Location 1,-122.3807,47.5876,108,12/5/1996,1.08,0
Location 1,-122.3807,47.5876,108,12/6/1996,0.19,0
Location 1,-122.3807,47.5876,108,12/7/1996,0.35,0
Location 1,-122.3807,47.5876,108,12/8/1996,0.61,0
Location 1,-122.3807,47.5876,108,12/9/1996,0.34,0
Location 1,-122.3807,47.5876,108,12/10/1996,0.16,0
Location 1,-122.3807,47.5876,108,12/11/1996,0.25,0
Location 1,-122.3807,47.5876,108,12/12/1996,0.22,0
Location 1,-122.3807,47.5876,108,12/13/1996,0.24,0
Location 1,-122.3807,47.5876,108,12/14/1996,0.11,0
Location 1,-122.3807,47.5876,108,12/15/1996,0,0
Location 1,-122.3807,47.5876,108,12/16/1996,0.09,0
Location 1,-122.3807,47.5876,108,12/17/1996,0,0
Location 1,-122.3807,47.5876,108,12/18/1996,0,0
Location 1,-122.3807,47.5876,108,12/19/1996,0,0
Location 1,-122.3807,47.5876,108,12/20/1996,0.14,0
Location 1,-122.3807,47.5876,108,12/21/1996,0.17,0
Location 1,-122.3807,47.5876,108,12/22/1996,0.13,0
Location 1,-122.3807,47.5876,108,12/23/1996,0.14,0
Location 1,-122.3807,47.5876,108,12/24/1996,0.2,0
Location 1,-122.3807,47.5876,108,12/25/1996,0.53,0
Location 1,-122.3807,47.5876,108,12/26/1996,0.02,0
Location 1,-122.3807,47.5876,108,12/27/1996,1.17,0
Location 1,-122.3807,47.5876,108,12/28/1996,0,0
Location 1,-122.3807,47.5876,108,12/29/1996,0.69,0
Location 1,-122.3807,47.5876,108,12/30/1996,1.62,0
Location 1,-122.3807,47.5876,108,12/31/1996,0.74,0
Location 1,-122.3807,47.5876,108,1/1/1997,1.28,1
Location 1,-122.3807,47.5876,108,1/2/1997,0.93,0
Location 1,-122.3807,47.5876,108,1/3/1997,1.08,0
Location 1,-122.3807,47.5876,108,1/4/1997,0.01,0
Location 1,-122.3807,47.5876,108,1/5/1997,0.02,0
Location 1,-122.3807,47.5876,108,1/6/1997,0,0
Location 1,-122.3807,47.5876,108,1/7/1997,0.17,0
Location 1,-122.3807,47.5876,108,1/8/1997,0,0
Location 1,-122.3807,47.5876,108,1/9/1997,0.11,0
Location 1,-122.3807,47.5876,108,1/10/1997,0.04,0
Location 1,-122.3807,47.5876,108,1/11/1997,0,0
Location 1,-122.3807,47.5876,108,1/12/1997,0,0
Location 1,-122.3807,47.5876,108,1/13/1997,0,0
Location 1,-122.3807,47.5876,108,1/14/1997,0,0
Location 1,-122.3807,47.5876,108,1/15/1997,0,0
Location 1,-122.3807,47.5876,108,1/16/1997,0,0
Location 1,-122.3807,47.5876,108,1/17/1997,0.64,0
Location 1,-122.3807,47.5876,108,1/18/1997,0.73,0
Location 1,-122.3807,47.5876,108,1/19/1997,0.69,0
Location 1,-122.3807,47.5876,108,1/20/1997,0.55,0
Location 1,-122.3807,47.5876,108,1/21/1997,0.51,0
Location 1,-122.3807,47.5876,108,1/22/1997,0.1,0
Location 1,-122.3807,47.5876,108,1/23/1997,0.03,0
Location 1,-122.3807,47.5876,108,1/24/1997,0,0
Location 1,-122.3807,47.5876,108,1/25/1997,0,0
Location 1,-122.3807,47.5876,108,1/26/1997,0,0
Location 1,-122.3807,47.5876,108,1/27/1997,0,0
Location 1,-122.3807,47.5876,108,1/28/1997,0.54,0
Location 1,-122.3807,47.5876,108,1/29/1997,0.02,0
Location 1,-122.3807,47.5876,108,1/30/1997,0.7,0
Location 1,-122.3807,47.5876,108,1/31/1997,0.18,0
Location 1,-122.3807,47.5876,108,2/1/1997,0.3,0
Location 1,-122.3807,47.5876,108,2/2/1997,0.08,0
Location 1,-122.3807,47.5876,108,2/3/1997,0.1,0
Location 1,-122.3807,47.5876,108,2/4/1997,0,0
Location 1,-122.3807,47.5876,108,2/5/1997,0,0
Location 1,-122.3807,47.5876,108,2/6/1997,0,0
Location 1,-122.3807,47.5876,108,2/7/1997,0.06,0
Location 1,-122.3807,47.5876,108,2/8/1997,0.01,0
Location 1,-122.3807,47.5876,108,2/9/1997,0.02,0
Location 1,-122.3807,47.5876,108,2/10/1997,0,0
Location 1,-122.3807,47.5876,108,2/11/1997,0,0
Location 1,-122.3807,47.5876,108,2/12/1997,0.46,0
Location 1,-122.3807,47.5876,108,2/13/1997,0.02,0
Location 1,-122.3807,47.5876,108,2/14/1997,0.16,0
Location 1,-122.3807,47.5876,108,2/15/1997,0.17,0
Location 1,-122.3807,47.5876,108,2/16/1997,0,0
Location 1,-122.3807,47.5876,108,2/17/1997,0.1,0
Location 1,-122.3807,47.5876,108,2/18/1997,0,0
Location 1,-122.3807,47.5876,108,2/19/1997,0.53,0
Location 1,-122.3807,47.5876,108,2/20/1997,0.22,0
Location 1,-122.3807,47.5876,108,2/21/1997,0,0
Location 1,-122.3807,47.5876,108,2/22/1997,0,0
Location 1,-122.3807,47.5876,108,2/23/1997,0,0
Location 1,-122.3807,47.5876,108,2/24/1997,0,0
Location 1,-122.3807,47.5876,108,2/25/1997,0,0
Location 1,-122.3807,47.5876,108,2/26/1997,0.02,0
Location 1,-122.3807,47.5876,108,2/27/1997,0.08,0
Location 1,-122.3807,47.5876,108,2/28/1997,0.02,0
,,,,,,0
Location 2,-122.3811,47.636,82,12/1/1996,0.38,0
Location 2,-122.3811,47.636,82,12/2/1996,0.1,0
Location 2,-122.3811,47.636,82,12/3/1996,0.19,0
Location 2,-122.3811,47.636,82,12/4/1996,0.09,0
Location 2,-122.3811,47.636,82,12/5/1996,1.07,0
Location 2,-122.3811,47.636,82,12/6/1996,0.18,0
Location 2,-122.3811,47.636,82,12/7/1996,0.33,0
Location 2,-122.3811,47.636,82,12/8/1996,0.61,0
Location 2,-122.3811,47.636,82,12/9/1996,0.3,0
Location 2,-122.3811,47.636,82,12/10/1996,0.19,0
Location 2,-122.3811,47.636,82,12/11/1996,0.24,0
Location 2,-122.3811,47.636,82,12/12/1996,0.21,0
Location 2,-122.3811,47.636,82,12/13/1996,0.25,0
Location 2,-122.3811,47.636,82,12/14/1996,0.09,0
Location 2,-122.3811,47.636,82,12/15/1996,0,0
Location 2,-122.3811,47.636,82,12/16/1996,0.07,0
Location 2,-122.3811,47.636,82,12/17/1996,0,0
Location 2,-122.3811,47.636,82,12/18/1996,0,0
Location 2,-122.3811,47.636,82,12/19/1996,0,0
Location 2,-122.3811,47.636,82,12/20/1996,0.11,0
Location 2,-122.3811,47.636,82,12/21/1996,0.15,0
Location 2,-122.3811,47.636,82,12/22/1996,0.16,0
Location 2,-122.3811,47.636,82,12/23/1996,0.14,0
Location 2,-122.3811,47.636,82,12/24/1996,0.18,0
Location 2,-122.3811,47.636,82,12/25/1996,0.49,0
Location 2,-122.3811,47.636,82,12/26/1996,0.03,0
Location 2,-122.3811,47.636,82,12/27/1996,1.13,0
Location 2,-122.3811,47.636,82,12/28/1996,0,0
Location 2,-122.3811,47.636,82,12/29/1996,0.77,0
Location 2,-122.3811,47.636,82,12/30/1996,1.58,0
Location 2,-122.3811,47.636,82,12/31/1996,0.74,0
Location 2,-122.3811,47.636,82,1/1/1997,1.29,1
